"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FLUT","mgi_symbol","chromosome_name"
"ENSMUSG00000081030",0.139705034084673,-1.6566025273253,6.83425555661068,-0.242396924376481,0.80847261732212,NA,0,0.481791790601194,"Gm12704","4"
"ENSMUSG00000081034",0.178915425228006,-1.64367150929347,6.8285500977322,-0.240705784649562,0.809783155273686,NA,0,0.885277711768227,"Gm5944","X"
"ENSMUSG00000081039",0.180736103246433,0,6.86125723718357,0,1,NA,0,0,"Gm14693","X"
"ENSMUSG00000081042",0.263168683430737,2.13133798255065,6.84128492805251,0.311540595804037,0.755389686278507,NA,0.87862357810522,0,"Psmb7-ps2","X"
"ENSMUSG00000081043",0.148011014542816,0.401791301304047,6.86112461584999,0.0585605602288381,0.953302125121177,NA,0.243060005025288,0.255453580259116,"Gm11512","11"
"ENSMUSG00000081046",0.315913976117848,1.13577743587227,5.78573844178813,0.196306391534915,0.844370359000999,NA,0.547634526228988,0,"Gm12846","4"
"ENSMUSG00000081048",0.709323956267043,-1.33150896753882,2.24957710531897,-0.591893011531171,0.553922233824521,NA,0,0.481791790601194,"Gm11760","4"
"ENSMUSG00000081052",0.0540548852637582,0,6.86172566754399,0,1,NA,0,0,"Gm6305","16"
"ENSMUSG00000081059",0.0318310448442434,0,6.86172790272479,0,1,NA,0,0,"Gm11945","11"
"ENSMUSG00000081068",0.0546843706872815,1.16082755480574,6.86165624380203,0.169175999723724,0.865658207119784,NA,0.243060005025288,0,"Gm12804","4"
"ENSMUSG00000081070",0.0222389244729747,0,6.86172790272479,0,1,NA,0,0,"Gm13181","2"
"ENSMUSG00000081071",0.113490117368219,0,6.86068907330177,0,1,NA,0,0,"Gm9836","5"
"ENSMUSG00000081076",0.614565348505892,1.0401482247848,2.29888099471024,0.452458490534393,0.650938718339126,NA,1.03375453627956,0.629824131509111,"Rpsa-ps4","11"
"ENSMUSG00000081081",0.0303783701847527,0,6.86168333554297,0,1,NA,0,0,"Gm14856","X"
"ENSMUSG00000081093",0.284326772763589,1.48972665323136,6.84572388646318,0.217614189227988,0.82772972802538,NA,0.486120010050575,0,"Gm12565","3"
"ENSMUSG00000081104",0.145150336411023,2.13732009985115,6.82983961948487,0.31293854891608,0.754327349592696,NA,0.729180015075863,0,"Gm15989","5"
"ENSMUSG00000081115",0.0707671547347143,1.36673037333774,6.86172790272479,0.199181662798814,0.842120642995037,NA,0.243060005025288,0,"Gm15913","14"
"ENSMUSG00000081120",0.230087914777741,2.05237993218755,6.8410911567958,0.300007686661032,0.764171292431137,NA,0.57404905690152,0,"Gm12458","4"
"ENSMUSG00000081123",0.0507076587383498,0,6.86172790272479,0,1,NA,0,0,"Gm11469","2"
"ENSMUSG00000081128",0.447192966001713,0.403249251459335,4.61906417838058,0.0873010713613232,0.930432202450655,NA,0.330989051876233,0.226338210342078,"Gm13328","2"
"ENSMUSG00000081130",0.0330989051876233,1.22932990554252,6.86172790272479,0.179157483795642,0.857814046546737,NA,0.330989051876233,0,"Gm8217","1"
"ENSMUSG00000081136",0.157943549204268,0,6.86168723568118,0,1,NA,0,0,"Gm12990","4"
"ENSMUSG00000081139",0.207872608415759,0.261207807575252,6.86101888168546,0.0380712853410899,0.969630845684196,NA,0.330989051876233,0.226338210342078,"Gm13333","2"
"ENSMUSG00000081151",0.119881772064714,0.933882466872105,6.86172790272479,0.136100189356279,0.891742077836833,NA,0.547634526228988,0,"Gm11448","2"
"ENSMUSG00000081152",0.117620417137123,0,6.86148097441881,0,1,NA,0,0,"Gm12430","4"
"ENSMUSG00000081159",0.0243060005025288,1.23959558270971,6.86172790272479,0.180653561359882,0.856639511593764,NA,0.243060005025288,0,"Gm6023","X"
"ENSMUSG00000081167",0.503000597618991,-1.23932823382295,4.59499504173053,-0.269712637895731,0.787381337121025,NA,0,0.452676420684156,"Gm8880","X"
"ENSMUSG00000081178",0.47495921585616,1.65909048896688,2.94967613692757,0.562465305325015,0.573799035627314,NA,0.790694531254275,0.226338210342078,"Ppp1r2-ps6","17"
"ENSMUSG00000081185",0.0872852221425322,-0.708558252070408,6.8617224102927,-0.103262447779519,0.917754678578334,NA,0,0.226338210342078,"Gm4852","1"
"ENSMUSG00000081191",0.047463335072927,0,6.86171414211447,0,1,NA,0,0,"Gm11271","13"
"ENSMUSG00000081192",0.0806381358092652,0,6.86170345829312,0,1,NA,0,0,"Gm13243","4"
"ENSMUSG00000081194",0.376653207716933,-0.453114919795123,4.71759988341744,-0.0960477639038106,0.923482637776524,NA,0,0.255453580259116,"Gm8424","X"
"ENSMUSG00000081196",0.0485645096145692,0,6.86172790272479,0,1,NA,0,0,"Gm13858","6"
"ENSMUSG00000081201",0.245721144960688,-0.651802567757008,6.86162999231925,-0.0949923805985781,0.924320878955113,NA,0,0.255453580259116,"Smt3h2-ps4","1"
"ENSMUSG00000081212",0.0229401037628995,0,6.86171932332348,0,1,NA,0,0,"Gm6964","X"
"ENSMUSG00000081213",0.0724598719374827,0,6.86152533822743,0,1,NA,0,0,"Gm11983","11"
"ENSMUSG00000081217",0.245153746705141,-1.27909469375601,6.81120945589514,-0.18779259425783,0.851039241411755,NA,0.330989051876233,0.708130000943272,"Gm15268","X"
"ENSMUSG00000081223",0.145769362616742,1.67064970316673,6.84589783599309,0.244036610418446,0.807202465892009,NA,0.486120010050575,0,"Gm12247","11"
"ENSMUSG00000081228",0.124671593719484,-0.689499427410595,6.844214672356,-0.100741934673017,0.919755321633337,NA,0.243060005025288,0.748741102499991,"Gm16089","5"
