"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FLi2","mgi_symbol","chromosome_name"
"ENSMUSG00000091164",6.50780231129814,-0.0875914327050604,0.84829374237903,-0.103256016553194,0.917759782670749,0.956009957367945,2.249054561406,2.84687572992193,"Gm17716","14"
"ENSMUSG00000032504",8825.92324372472,-0.0134066753091181,0.130498096529506,-0.102734642616697,0.91817357826984,0.956377325451695,8336.96567965005,8823.62909358986,"Pdcd6ip","9"
"ENSMUSG00000021196",14384.1129301144,-0.0276597474480784,0.270731652776629,-0.102166655300182,0.918624394441474,0.956680294911421,27013.871421318,25228.2310626755,"Pfkp","13"
"ENSMUSG00000049288",517.078395860834,0.0207843870308728,0.203492035362418,0.102138577531332,0.918646680675685,0.956680294911421,388.006742251538,363.453803874289,"Lix1l","3"
"ENSMUSG00000064936",52.0086319927403,0.0511476187779507,0.500890690066422,0.10211333488983,0.918666716632085,0.956680294911421,51.7479134436094,51.853833743006,"","1"
"ENSMUSG00000086798",2.00066503461956,-0.148656897865214,1.45656333552394,-0.102060030099371,0.918709026654998,0.956680294911421,1.12168358313051,1.20059299815409,"Gm16222","10"
"ENSMUSG00000074344",3.71267966764378,0.0998248596542618,0.981686798100456,0.101687075600304,0.919005061141805,0.95692487598993,3.94478720143803,4.40205582609746,"Adora3","3"
"ENSMUSG00000020700",6386.89603320107,-0.0152394688634344,0.150562616802477,-0.101216817209195,0.919378347074467,0.956931454119686,7001.79231549872,7081.38993746151,"Map3k3","11"
"ENSMUSG00000033047",4125.61036222696,-0.0170038480552601,0.167963380580842,-0.101235447848563,0.919363557939524,0.956931454119686,4273.60092558391,4608.96017129297,"Eif3l","15"
"ENSMUSG00000034673",1374.88094545545,0.0200649152459824,0.197532198134622,0.101577947471165,0.919091684261563,0.956931454119686,1014.37863895245,938.467635969975,"Pbx2","17"
"ENSMUSG00000056763",487.342140616503,0.013796957888293,0.136233044772193,0.10127467907191,0.919332416004716,0.956931454119686,588.837570289057,595.046820016578,"Cspp1","1"
"ENSMUSG00000068579",3.09538596819364,-0.0894629100475169,0.883705286435883,-0.101236137681528,0.919363010345713,0.956931454119686,2.75590170698412,3.71249858724332,"Rpl7a-ps3","15"
"ENSMUSG00000074006",12.0879524218275,-0.054245808109395,0.535081676008047,-0.101378556847795,0.919249957921558,0.956931454119686,19.2271080972538,20.8109140628767,"Omp","7"
"ENSMUSG00000078599",2.8872297166526,0.1455201642356,1.43988900008303,0.101063459910596,0.919500084255405,0.95699449998404,0.97224002010115,1.35672497304338,"Skint8","4"
"ENSMUSG00000029048",4260.28271313665,0.0120597033011017,0.119643190312741,0.100797239438186,0.919711418290377,0.957095920895743,5378.55314211272,5235.88329696469,"Rer1","4"
"ENSMUSG00000064731",5.93144279033912,-0.0768920519227592,0.762919500985432,-0.100786586033574,0.919719875410168,0.957095920895743,6.17378151772071,7.67132054081398,"Snord45b","3"
"ENSMUSG00000069554",2.04426149257493,0.163135767443246,1.62330243819886,0.100496225228525,0.919950379499316,0.95727212274849,0.790694531254275,0.979114997578594,"I830134H01Rik","19"
"ENSMUSG00000027784",80.6937824442104,0.027700068543657,0.276689648063637,0.100112413809158,0.920255080051918,0.957334506814648,78.709464985565,63.9311329579102,"Ppm1l","3"
"ENSMUSG00000036106",5.26197030046103,0.0776372873906088,0.774964792066948,0.100181696233629,0.920200077191596,0.957334506814648,7.81668509640767,7.76087855947358,"Prr5","15"
"ENSMUSG00000039684",2.67905468919103,-0.104060934783585,1.0391608571368,-0.100139390421521,0.92023366345173,0.957334506814648,2.26978169693355,2.15731849106779,"Gm5422","10"
"ENSMUSG00000057788",1174.77467586522,0.00962232011137399,0.0961067296264333,0.100121189731207,0.920248112884116,0.957334506814648,1288.0309431785,1284.19521316014,"Ddx49","8"
"ENSMUSG00000001995",1394.58647138807,0.0182669964380133,0.182610550789863,0.100032535683186,0.920318495243317,0.957336824451628,1411.16013152235,1413.6111267197,"Sipa1l2","8"
"ENSMUSG00000090327",1.85089531542845,0.14341680126042,1.43535479694663,0.0999173177011736,0.92040996761554,0.957368325575903,1.23602716065399,1.20150424230834,"Gm17111","12"
"ENSMUSG00000026812",1873.34223365346,0.0165953609303473,0.166368615718557,0.0997505500581993,0.920542367493688,0.957442390600695,1605.58103976106,1695.67751701987,"Tsc1","2"
"ENSMUSG00000038217",157.162987819945,-0.0275098702807478,0.278167979273605,-0.0988966104315305,0.921220360197808,0.958083871021996,110.110890249973,104.11060982346,"Tlcd2","11"
"ENSMUSG00000026223",12043.6231254886,-0.0178476438293631,0.180623681348767,-0.0988112062387929,0.921288170748268,0.958090709174303,12494.5657027755,11959.1266255556,"Itm2c","1"
"ENSMUSG00000023004",7740.43790040726,0.0267580487443401,0.272625966646261,0.0981493035073189,0.92181373794956,0.958549200054256,10249.7862266209,9282.16782970661,"Tuba1b","15"
"ENSMUSG00000077990",6.45318838796461,-0.0742750671329109,0.757123547019761,-0.0981016472480314,0.92185157952297,0.958549200054256,6.12095245637565,6.91550603211938,"","2"
"ENSMUSG00000086404",2.59350342099811,0.0994125595688691,1.01806511779461,0.0976485274185818,0.922211389297314,0.958859609047433,2.14106526943174,1.86744404595411,"Gm6787","X"
"ENSMUSG00000030435",4230.44221119669,0.0168415926467674,0.172699520153227,0.0975196261797645,0.922313749075187,0.958902313644121,4000.31323389881,4197.18394503921,"U2af2","7"
"ERCC_00033",26.9341127671438,-0.0423247002945523,0.435352363519538,-0.0972194108523608,0.922552153431291,0.959086444690098,19.1007228390361,17.4977815829846,NA,NA
"ENSMUSG00000024764",1511.91127585622,-0.0150203801957344,0.154664134741094,-0.0971161169386709,0.922634181895813,0.959107993484944,1486.96251517511,1603.39182718858,"Naa40","19"
"ENSMUSG00000021758",101.368334542671,-0.047204341278184,0.489630264233363,-0.0964081363558972,0.923196430349125,0.959529357007335,210.395821731339,189.547086990261,"Ddx4","13"
"ENSMUSG00000073725",5431.70018394677,0.00886043108778003,0.0920107062466167,0.0962978271684099,0.923284036737027,0.959529357007335,5398.85554819994,5486.32814562549,"Lmbrd1","1"
"ENSMUSG00000075392",2.19749746532681,-0.10336966775732,1.07430980728667,-0.0962196072829266,0.923346158705256,0.959529357007335,2.11465073875921,2.13370105585941,"Gm5561","1"
"ENSMUSG00000078656",5.89371538826759,-0.0612089677349135,0.636107480368035,-0.0962242539570507,0.923342468319332,0.959529357007335,5.90430698202289,5.73607460808671,"Vps25","11"
"ENSMUSG00000079297",92.3170042785395,-0.0290189063323256,0.301522657347391,-0.0962412131400534,0.923328999359922,0.959529357007335,96.7189636622479,100.766916573022,"Gm2223","X"
"ENSMUSG00000025290",27272.5464701941,0.0166572450354009,0.173434204597934,0.0960435980550477,0.92348594634728,0.959610886401643,30033.3324644296,27013.4416966874,"Rps24","14"
"ENSMUSG00000058704",1187.31747751184,-0.0183259743250588,0.190964097823311,-0.095965548152485,0.923547934830089,0.959611567827837,1230.91472881672,1313.15606761554,"Memo1","17"
"ENSMUSG00000079339",7859.58384366115,-0.0710089926963077,0.742562935321451,-0.0956269015306674,0.923816898774358,0.959827292530952,6513.10657753009,6103.22698828765,"Gm14446","19"
"ENSMUSG00000038502",1150.0154810008,0.0177183821812301,0.186226585370386,0.0951442144846829,0.924200279263827,0.960161857195341,1014.30398648322,985.423361233974,"Ptov1","7"
"ENSMUSG00000033900",5.38620039462377,-0.0814124356731391,0.861486422976995,-0.0945022852383516,0.924710167213671,0.960436489393594,11.1409484651483,11.56416309592,"Mtap9","3"
"ENSMUSG00000045039",1121.24394818695,0.0190961434346138,0.201931697289594,0.0945673398031593,0.924658492601101,0.960436489393594,1113.25355312037,1135.45177198453,"Megf8","7"
"ENSMUSG00000049001",79.5836257506347,-0.0281174672214778,0.296914198761215,-0.0946989646799966,0.924553940349199,0.960436489393594,186.046184114293,184.668493905122,"A930038C07Rik","6"
"ENSMUSG00000068604",3.07391073020422,0.101815964222668,1.07607836635898,0.0946176109526049,0.924618561075711,0.960436489393594,3.77528339328535,4.20082815548914,"Gm8225","17"
"ENSMUSG00000022894",1.97844030878092,-0.140010623028513,1.48784391082747,-0.0941030319172698,0.92502731194977,0.960702112364161,0.486120010050575,0.778204013359501,"Adamts5","16"
"ENSMUSG00000028576",332.553967095722,-0.0138870069845532,0.148046110737927,-0.0938019034430173,0.925266519625076,0.960798939424154,356.780150024255,343.094805711277,"Ift74","4"
"ENSMUSG00000029478",869.315875199224,-0.037530992410351,0.400788593357954,-0.0936428656711575,0.925392857319522,0.960798939424154,712.258294084936,744.783325440686,"Ncor2","5"
"ENSMUSG00000031565",13.1973070792485,0.0736708131616591,0.785095945797985,0.0938367005408221,0.925238877480002,0.960798939424154,8.87985222304813,6.82836505953329,"Fgfr1","8"
"ENSMUSG00000039879",2582.27012749244,0.0154170443366771,0.164986028434964,0.0934445448679575,0.925550403617593,0.960798939424154,2043.60158343079,2236.61901742997,"Heca","10"
"ENSMUSG00000042178",1197.1769861248,-0.0190834604292111,0.204168677825136,-0.0934690895415186,0.925530905139289,0.960798939424154,1010.33941980873,1116.40216909086,"Armc5","7"
"ENSMUSG00000049439",1140.8857710168,0.019131876117916,0.204711007117406,0.0934579746703286,0.925539734873292,0.960798939424154,1160.7606516716,1280.11203288298,"Cyp20a1","1"
"ENSMUSG00000090426",5.07887033179867,0.0616015075902479,0.658547699307371,0.0935414513710055,0.92547342060328,0.960798939424154,7.06109055065928,6.3369850724355,"Gm17392","17"
"ENSMUSG00000030835",1496.9528026711,-0.0267886842557697,0.287218994227509,-0.0932691945663948,0.925689704552173,0.960816048654856,1647.09941329749,1822.65124837958,"Nomo1","7"
"ENSMUSG00000041774",48.6201531440627,-0.0304153194993903,0.326065153799004,-0.0932798833147903,0.925681213183359,0.960816048654856,40.5885690122177,39.1951633909149,"Ydjc","16"
"ENSMUSG00000015189",1345.07693244917,0.0267068535992358,0.288087204953485,0.0927040602290822,0.926138671308556,0.961154527148692,1125.15183134186,1247.11616531299,"Casd1","6"
"ENSMUSG00000030814",434.623723285662,0.0189425081435395,0.204230879664216,0.0927504605311574,0.926101808046594,0.961154527148692,483.36401572152,489.241682668753,"Bcl7c","7"
"ENSMUSG00000043991",2045.79840210295,0.0129084171913316,0.139475184864643,0.0925499199291897,0.926261131008115,0.961217858708826,2020.82732135816,2086.81729130873,"Pura","18"
"ENSMUSG00000000942",5.49335173272856,0.0737043050534216,0.797219525487521,0.0924517058314013,0.926339159981691,0.96123507740241,3.43225266071492,3.02416927893265,"Hoxa4","6"
"ENSMUSG00000026672",2535.80284540939,-0.0193089600258958,0.209240425667383,-0.0922812117415119,0.926474615525636,0.961257690469509,1451.32739536222,1547.64666885688,"Optn","2"
"ENSMUSG00000091697",6.01662093691497,-0.068684124714698,0.74438506835416,-0.0922696164050671,0.926483827961153,0.961257690469509,11.6999577816673,12.1396336367519,"Eif3s6-ps2","18"
"ENSMUSG00000025877",43872.7205382757,0.0189333709344426,0.205531904463355,0.0921188901736579,0.926603580077657,0.961307211881244,82229.40249549,76460.8307990195,"Hk3","13"
"ENSMUSG00000038384",506.847149873694,-0.0245254264411374,0.266421808066723,-0.0920548757592518,0.92665444008647,0.961307211881244,422.862607644979,407.00100062362,"Setd1b","5"
"ENSMUSG00000013974",49.0574547316,0.0452411281605228,0.492760806814034,0.0918115392598516,0.926847775784157,0.961444029696938,26.8415205692871,24.7905420891661,"1810033B17Rik","8"
"ENSMUSG00000004865",2171.09254198212,-0.0158294143279601,0.172557452542087,-0.0917341679235747,0.926909249758169,0.961444054741203,2187.50657751228,2327.6847209168,"Srpk1","17"
"ENSMUSG00000035133",2211.30488328809,-0.012414615719303,0.135505931463881,-0.0916167697250368,0.927002527173511,0.961477065969953,2522.7594039024,2508.32465148447,"Arhgap5","12"
"ENSMUSG00000018986",860.480639460732,-0.0220850579308941,0.24247691392967,-0.0910810747834736,0.927428170265499,0.961582476456366,166.863500679682,158.500035337284,"Slfn3","11"
"ENSMUSG00000021319",3.33342305687682,0.172577473207909,1.89135863614882,0.0912452402783382,0.927297728312966,0.961582476456366,0.330989051876233,0.311036019235106,"Sfrp4","13"
"ENSMUSG00000027318",83.3583257940473,0.0535523884304886,0.587253005564344,0.091191339887695,0.927340556051294,0.961582476456366,6.34328532587339,7.31673344279254,"Adam33","2"
"ENSMUSG00000033917",1915.97496794408,0.0146585884772879,0.160954934047187,0.0910726257884736,0.927434883686454,0.961582476456366,2267.04471470064,2098.99660392816,"Gde1","7"
"ENSMUSG00000069495",1594.20054771733,-0.0200942795121496,0.221083795886866,-0.09088987924937,0.92758009209523,0.961582476456366,1410.75669376635,1669.26453148725,"Epc2","2"
"ENSMUSG00000073366",2.81324082975601,-0.0969183032625942,1.06530981251049,-0.0909766362089523,0.927511155659432,0.961582476456366,2.42491265510789,2.95791200909219,"Gm10492","17"
"ENSMUSG00000085788",1.83098538784103,-0.111260753541821,1.22439375162022,-0.0908700762271874,0.927595827505812,0.961582476456366,1.81007621755551,2.2898330307487,"4930470G03Rik","13"
"ENSMUSG00000086016",2.8815574219509,-0.0804781206053927,0.885090846841537,-0.090926395739579,0.927551076297016,0.961582476456366,3.35636529455818,4.40296707025171,"1700084C06Rik","9"
"ENSMUSG00000003363",10642.4955362825,0.0160872796684508,0.177677824421167,0.0905418541726263,0.927856635695511,0.961597994442073,5587.05009953168,6063.63148415609,"Pld3","7"
"ENSMUSG00000020176",33.2125003014501,0.0599206962814234,0.661165142222136,0.0906289404187789,0.927787435426322,0.961597994442073,20.0375047074589,18.3707332085534,"Grb10","11"
"ENSMUSG00000026565",1226.19613497466,-0.0135170594000401,0.149183903241135,-0.0906066881638808,0.927805117409125,0.961597994442073,1189.98193800674,1183.52483058985,"Pou2f1","1"
