"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FL8","mgi_symbol","chromosome_name"
"ENSMUSG00000091410",0.488480406050326,1.32392780769396,3.93597113867054,0.336366238737499,0.736594705340825,NA,0.243060005025288,0,"Gm17150","19"
"ENSMUSG00000091412",0.851997940607025,0.795059319415979,1.97375505543845,0.402815596203432,0.68708388685773,NA,0.790694531254275,0.636620896884868,"Gm2895","15"
"ENSMUSG00000091415",1.72354491202544,3.84349934084962,1.87844049200072,2.04611184502093,0.0407453678675121,NA,2.41922525996291,0,"Akd1","10"
"ENSMUSG00000091418",0.0992967155628698,2.60849037609526,6.75934349576098,0.385908835337505,0.699564186897,NA,0.992967155628698,0,"Gm17143","14"
"ENSMUSG00000091423",2.36293788342832,0.267211573320654,1.05146310582224,0.254133094961707,0.799392736379702,NA,3.69603980126776,2.66581874551329,"Gm17509","13"
"ENSMUSG00000091427",0.0201735521623751,-0.669563200406035,6.80625493902526,-0.0983746871670847,0.92163477388304,NA,0,0.201735521623751,"Gm17508","9"
"ENSMUSG00000091428",0.0268469471373773,0,6.80625493902526,0,1,NA,0,0,"Gm17507","18"
"ENSMUSG00000091434",1.88958344530782,3.10580391620367,1.5888696687116,1.95472541100375,0.0506154891183333,NA,2.94613265066435,0.201735521623751,"1010001B22Rik","5"
"ENSMUSG00000091443",0.18865025959229,2.0669134422613,6.78471496586433,0.30464263460742,0.760638344780256,NA,0.661978103752465,0,"Gm17023","8"
"ENSMUSG00000091444",0.27745526536326,-1.80545436751998,6.769125966834,-0.266718979136446,0.789685539888045,NA,0,0.403471043247502,"2010300F17Rik","11"
"ENSMUSG00000091448",1.58049764501549,-1.8380209628734,1.8220416663413,-1.00876999512541,0.31308495412517,NA,0.992967155628698,2.7300275251181,"Gm17388","4"
"ENSMUSG00000091455",0.119516738587226,-0.669370951063299,6.79075913538876,-0.0985708575017775,0.921479009649794,NA,0,0.265944301228551,"Otogl","10"
"ENSMUSG00000091460",1.77052910028182,-1.42152347853877,1.66726317622745,-0.852608933495002,0.393876206835399,NA,0.57404905690152,2.01870855024151,"Gm7808","9"
"ENSMUSG00000091465",0.254999464455425,-0.440086790427306,6.80523547191193,-0.0646688556544046,0.948437660484764,NA,0,0.318310448442434,"Ms4a12","19"
"ENSMUSG00000091472",0.384579268247457,2.20853544200926,3.83449417948142,0.575965261292416,0.564638662443424,NA,1.45267263500674,0.265944301228551,"Gm3739","14"
"ENSMUSG00000091475",0.0812371144711275,-0.499958292071303,6.80625493902526,-0.0734557104531414,0.941443486755982,NA,0,0.318310448442434,"2810468N07Rik","17"
"ENSMUSG00000091476",0.259009651979575,0.726472812002507,6.78277299743646,0.107105576476918,0.914705223229973,NA,0.486120010050575,0.201735521623751,"Gm16432","1"
"ENSMUSG00000091479",1.13072541423924,0.0265653694165623,2.78362067272099,0.00954345887602376,0.99238553709085,NA,0.790694531254275,0.721781491689936,"Gm17035","15"
"ENSMUSG00000091498",1.02800268342591,-0.523598930746142,1.81162102419441,-0.289022330693571,0.772564289033375,NA,1.03375453627956,1.68855546940816,"Gm3452","12"
"ENSMUSG00000091504",0.0303783701847527,0,6.80625455141748,0,1,NA,0,0,"Vmn2r118","17"
"ENSMUSG00000091520",0.400288855339777,-1.83431922954381,3.51544615655334,-0.521788458094957,0.601817626702035,NA,0,0.520045970066185,"Gm17419","13"
"ENSMUSG00000091523",1.89704316661419,1.18282921326172,1.8240746316005,0.648454395872972,0.516691097710933,NA,1.03375453627956,0.636620896884868,"AU040972","11"
"ENSMUSG00000091527",0.394711597911091,0.973611552818036,5.48471269963468,0.177513683238665,0.859104918240465,NA,0.330989051876233,0,"Gm8330","10"
"ENSMUSG00000091530",0.0229401037628995,0,6.80624230893898,0,1,NA,0,0,"Cldn20","17"
"ENSMUSG00000091535",1.61448581280321,0.345753244344903,1.33944171520382,0.258132355010528,0.796304761817611,NA,1.58138906250855,1.24182746175612,"Gm17612","4"
"ENSMUSG00000091546",0.0425510881965682,0,6.80587055948926,0,1,NA,0,0,"Gm2366","8"
"ENSMUSG00000091550",0.220466356882369,1.15748285012189,6.78595539520311,0.170570359324805,0.864561606156225,NA,0.661978103752465,0.318310448442434,"Gm6811","17"
"ENSMUSG00000091561",0.109817706779911,-1.18604945407287,6.78611492412422,-0.174775916313551,0.861255713037301,NA,0,0.531888602457103,"Gm6665","18"
"ENSMUSG00000091563",0.0272897829105519,0,6.80625424152667,0,1,NA,0,0,"Gm8108","14"
"ENSMUSG00000091567",1.45610821671954,4.51853622316252,3.47573728399633,1.30002237049608,0.193593302081874,NA,3.49376717689333,0,"Gm8989","7"
"ENSMUSG00000091568",0.0636620896884868,-1.41078708933785,6.79070926342825,-0.207752538742268,0.835422192565191,NA,0,0.636620896884868,"Gm8206","14"
"ENSMUSG00000091577",0.760881686183724,0.664186382369345,2.33011496822859,0.28504446837414,0.775610073600468,NA,0.661978103752465,0.403471043247502,"Gm6211","13"
"ENSMUSG00000091584",0.0330989051876233,1.23104894953185,6.80625493902526,0.180870237826876,0.856469430300441,NA,0.330989051876233,0,"Gm8180","14"
"ENSMUSG00000091587",1.61764467565057,-2.60508887541545,1.70601278113678,-1.52700431334377,0.126759938805043,NA,0,0.987725792918487,"Gm17191","12"
"ENSMUSG00000091588",0.399848893622108,-2.12798511423345,3.3839299785595,-0.62885022081317,0.529447117962273,NA,0,0.90256519811342,"Gm17279","8"
"ENSMUSG00000091591",0.0890122424287537,0,6.80571799337871,0,1,NA,0,0,"Gm17461","12"
"ENSMUSG00000091592",0.0786121258269211,0,6.80625493902526,0,1,NA,0,0,"Gm17460","7"
"ENSMUSG00000091604",0.909563241879254,-1.62193616886118,1.6194183032377,-1.00155479632313,0.316558662415101,NA,0.817109061926808,2.78512712191355,"Gm17349","15"
"ENSMUSG00000091607",1.3314373895165,1.06096073640938,1.56626449778913,0.677382867266021,0.498163065769343,NA,1.03375453627956,0.467679822852302,"Gm17348","16"
"ENSMUSG00000091611",0.0803980901227403,0,6.80625493902526,0,1,NA,0,0,"Gm9364","3"
"ENSMUSG00000091613",0.507783754040414,-0.109450251349384,3.69330493256863,-0.0296347724728115,0.97635833306144,NA,0.486120010050575,0.403471043247502,"Gm17046","14"
"ENSMUSG00000091614",0.0802549355898552,1.11119213142256,6.80625493902526,0.163260433436203,0.870313385416462,NA,0.547634526228988,0,"Gm17657","17"
"ENSMUSG00000091621",0.0303783701847527,0,6.80625455141748,0,1,NA,0,0,"Gm17463","X"
"ENSMUSG00000091622",0.120249245615075,1.26673556604647,6.80625177850122,0.186113533156044,0.852355729404315,NA,0.330989051876233,0,"Gm17464","7"
"ENSMUSG00000091623",1.52296499279689,-1.02564348982384,1.18148789319561,-0.868094794479651,0.3853424405375,NA,1.60780359318108,2.62391511511276,"Gm17092","5"
"ENSMUSG00000091634",0.461146572658391,0,4.56066054193367,0,1,NA,0,0,"Gm13290","4"
"ENSMUSG00000091637",0.456545916687976,1.3872471833528,3.38235024257137,0.410142972744942,0.681701071056755,NA,0.330989051876233,0,"Gm17281","2"
"ENSMUSG00000091639",0.0513248220768422,0,6.80625493902526,0,1,NA,0,0,"Gm3756","9"
"ENSMUSG00000091640",0.0374370551249996,0,6.80625493902526,0,1,NA,0,0,"Gm17592","17"
"ENSMUSG00000091642",1.43121348950404,0.446466126514964,1.23444818952927,0.361672632599683,0.717596680527857,NA,1.69573264003203,1.13709516732836,"Mocs3","2"
"ENSMUSG00000091644",0.173067037858518,1.39215517220053,6.80609781743752,0.204545278299376,0.837927412875487,NA,0.330989051876233,0,"Gm17590","5"
"ENSMUSG00000091654",0.0693980353339455,0,6.80592185412479,0,1,NA,0,0,"Gm17406","9"
"ENSMUSG00000091659",0.0685530285630049,0,6.8062373400815,0,1,NA,0,0,"Gm17099","9"
"ENSMUSG00000091661",0.305444360446823,1.41012295922127,6.80541504917226,0.207206018888264,0.835848966926711,NA,0.330989051876233,0,"Gm17021","9"
"ENSMUSG00000091666",0.384142783715404,2.11750809549617,5.42045001650347,0.390651715088057,0.696054693980339,NA,0.87862357810522,0,"Gm17717","5"
"ENSMUSG00000091667",0.75356599247521,0,2.69005158015942,0,1,NA,0,0,"Gm17718","1"
