"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL8","baseMean_FL2","mgi_symbol","chromosome_name"
"ENSMUSG00000028224",1509.8377885329,-0.168855336854763,0.176057287884839,-0.959093138849288,0.337511826555744,0.498541565490774,2000.13162920955,2202.69680913948,"Nbn","4"
"ENSMUSG00000032060",29.6209422227936,-0.250759886038532,0.261455002965742,-0.959093852456853,0.337511467092596,0.498541565490774,40.4330200115661,47.5539325143966,"Cryab","9"
"ENSMUSG00000036908",28284.0812789255,-0.160875806739676,0.167724096807691,-0.959169313185408,0.337473456901136,0.498541565490774,24949.9743943544,26907.3114546878,"Unc93b1","19"
"ENSMUSG00000029413",3028.94455472343,-0.311744689702343,0.325245047483482,-0.958491734507274,0.33781485742171,0.498944646188356,845.611772520057,946.231249288804,"Naaa","5"
"ENSMUSG00000026127",1331.77356720944,0.252440982685653,0.263576967835916,0.957750537758688,0.338188566151798,0.499407473088723,1870.22545123467,1541.53790230888,"Imp4","1"
"ENSMUSG00000030516",16.0347964818205,-0.76828295704284,0.802158596451603,-0.957769399270151,0.33817905295488,0.499407473088723,17.4466222420572,28.1526653220712,"Tjp1","7"
"ENSMUSG00000071632",100.571732780323,-0.254595452710793,0.265855530814195,-0.957645876055628,0.338241357588436,0.499440869787332,74.7028058362294,99.1079272335039,"2510002D24Rik","16"
"ENSMUSG00000037703",195.061951214597,0.284836580092594,0.297458467575027,0.957567563682653,0.338280861865376,0.499454642705962,149.386263272799,128.264540476889,"Prosapip1","2"
"ENSMUSG00000043535",4243.94327557053,-0.152816381438471,0.159609099838934,-0.957441534302758,0.338344442963074,0.499503958209066,4476.23098103146,4575.04805866635,"Setx","2"
"ENSMUSG00000087497",31.2241222990301,0.292878320841368,0.305945551637266,0.957289031574511,0.338421389972127,0.499572995489535,39.3282212287424,31.366065517374,"2810001G20Rik","11"
"ENSMUSG00000020910",1984.70250974524,0.248813168241535,0.259953802933301,0.957143790296368,0.338494683577452,0.499592073113109,600.527416080183,524.066165962633,"2310004I24Rik","11"
"ENSMUSG00000054252",1.80045291695107,-1.24878120473553,1.30468312458286,-0.957152875825533,0.338490098416873,0.499592073113109,2.43402222587993,4.90115770027437,"Fgfr3","5"
"ENSMUSG00000039754",176.644191967482,-0.206371381608951,0.215764065060203,-0.956467804550165,0.338835942662527,0.500051153545028,150.681754552639,174.460456686488,"Alkbh4","5"
"ENSMUSG00000020895",87.1057252845474,-0.289921277013628,0.303269013725862,-0.955987139773209,0.339078731784316,0.500274013042481,58.9592615824057,81.6583915738286,"Tmem107","11"
"ENSMUSG00000027531",1873.14027886738,-0.0831318697547978,0.0869511008893338,-0.956076103747129,0.339033786676593,0.500274013042481,2016.36050887825,2125.80808205861,"Impa1","3"
"ENSMUSG00000082289",2.90362145462473,-1.07879926564508,1.12847170525194,-0.95598255642947,0.339081047419293,0.500274013042481,1.25367009414704,2.60121962352416,"Gm15596","6"
"ENSMUSG00000087429",1.21071074985772,1.4636071069935,1.53108269890609,0.955929492273148,0.339107857671657,0.500274013042481,3.03511522559204,0.780311791205345,"Gm16235","10"
"ENSMUSG00000084931",66.129166260062,0.220098762484503,0.230343824836838,0.95552273928076,0.339313411624857,0.500532644902229,72.553390777136,59.8601349111497,"1110019D14Rik","6"
"ENSMUSG00000089951",14.0847314273451,0.418991556635337,0.438563520046424,0.955372568587065,0.339389321071826,0.500600004728615,16.6265109707409,10.6443936163123,"Gm14435","2"
"ENSMUSG00000082028",4.4139598060611,-0.685394771976579,0.717506046057517,-0.95524598815943,0.339453314387566,0.500649777796169,4.04652628329236,6.58651448961637,"Gm1826","2"
"ENSMUSG00000030562",2.53683599712396,-0.927382825088083,0.970905342564158,-0.955173263995919,0.339490083922038,0.50065939401173,4.42131644410782,7.9486202466772,"Nox4","7"
"ENSMUSG00000024462",15.0077785643705,0.380301332261769,0.398220738422032,0.955001323559218,0.339577027631926,0.500742995753386,38.9106989481825,26.8673302097405,"Gabbr1","17"
"ENSMUSG00000071604",2.85304465265712,1.05341943415875,1.10324398175763,0.954838142403001,0.339659555313438,0.500820071268838,4.85620181936894,2.18341484513201,"Fam189a2","19"
"ENSMUSG00000072772",60.0193146513191,0.270392525047795,0.283254597857197,0.954591830435578,0.339784150152723,0.500959154567764,57.0339407572875,48.4377117784848,"Grcc10","6"
"ENSMUSG00000093489",29.8590244214381,0.340133846781828,0.356446615961676,0.954235028614771,0.339964687317118,0.501180684046105,22.8579534287257,17.0015070682997,"","10"
"ENSMUSG00000026042",66.7317851851292,-0.601258011369256,0.630371312119829,-0.953815631849314,0.340176975326488,0.501359672184212,111.088290551532,174.879596718545,"Col5a2","1"
"ENSMUSG00000027470",2.78200531461427,-1.17028212198327,1.2268914815166,-0.953859521900541,0.34015475531599,0.501359672184212,1.89029099103191,4.20702688692712,"Mylk2","2"
"ENSMUSG00000034518",773.355910261047,0.241749169654041,0.253453163133483,0.953821868566391,0.340173817836269,0.501359672184212,730.429083253159,668.735890419236,"Hmgxb4","8"
"ENSMUSG00000039199",273.064990042658,-0.245219957537293,0.25723007933965,-0.953309807961849,0.340433123550305,0.501692514280215,237.190701082097,284.609716255141,"Zdhhc1","8"
"ENSMUSG00000050503",9.07353658367742,0.641500778402006,0.673065446710924,0.953103121749652,0.340537824598047,0.50180213095818,9.59447537791519,5.96198191056124,"Fbxl22","9"
"ENSMUSG00000042363",180.736865433216,0.446003246911525,0.468030157651659,0.952936984123729,0.340621999900088,0.501881484941366,205.203347709194,182.060286412719,"1110067D22Rik","11"
"ENSMUSG00000066037",1493.37336706795,-0.157542042252762,0.165343943440647,-0.952814109633923,0.34068426407194,0.501928543230788,1838.8970871658,1966.14197572267,"Hnrnpr","4"
"ENSMUSG00000039210",769.676187378066,0.108932798646812,0.114344746775283,0.952669901494408,0.340757347939468,0.501991532331655,859.167176033907,779.853389088081,"Gpatch2","1"
"ENSMUSG00000090290",117.751419580386,-0.305241554107472,0.320717408062662,-0.951746136735534,0.34122574485073,0.502636819421897,126.178031337397,155.040799573186,"Gm17296","8"
"ENSMUSG00000024454",1483.28986168882,0.0840245905386473,0.08833810691521,0.951170377912864,0.341517893019452,0.502957468856317,1591.32852316821,1518.05006450875,"Hdac3","18"
"ENSMUSG00000043832",1792.63834458907,0.333497690743389,0.350593099650093,0.951238604171712,0.34148326569227,0.502957468856317,2082.18321487935,1475.06606478006,"Clec4a3","6"
"ENSMUSG00000078922",8241.83959315265,0.461955108622096,0.485686998215644,0.951137482204102,0.341534589600395,0.502957468856317,78.3023293487463,65.2263790438076,"Tgtp1","11"
"ENSMUSG00000029221",2536.67376179957,0.112791623529752,0.118635001401871,0.950744908306406,0.341733885143099,0.503206186210269,2702.7568987047,2476.80689690552,"Slc30a9","5"
"ENSMUSG00000008690",2922.89448113947,-0.122534124545973,0.128901068006907,-0.950605968132138,0.34180443786032,0.50326530122108,2863.35247103882,3232.17121274647,"Ncaph2","15"
"ENSMUSG00000029726",925.010530032843,-0.140857624827612,0.148198095969091,-0.950468519224364,0.341874242493793,0.503323304351074,884.312752958423,947.502369968077,"Mepce","5"
"ENSMUSG00000085763",2.7649108081267,0.892152227005581,0.938948168664797,0.950161315372965,0.342030291634824,0.503508259081026,5.41677130425809,3.07013578336885,"2700081L22Rik","4"
"ENSMUSG00000032607",5.9036608707775,0.770125126154557,0.810873358621024,0.949747723200866,0.342240454388713,0.503728035623618,3.99416013607848,2.47404134880023,"Amt","9"
"ENSMUSG00000035790",278.717391634765,0.299946683394019,0.315797377665318,0.949807391092088,0.342210129645603,0.503728035623618,193.125474436691,157.381616506025,"1500031L02Rik","16"
"ENSMUSG00000088990",6.55805316611488,0.72183712402287,0.760410968611227,0.949272372203144,0.34248210126094,0.504038881199521,13.0408174955601,6.68106823572735,"","4"
"ENSMUSG00000021257",125.201925722478,0.236236568214948,0.248923583748184,0.949032488837739,0.342604088483566,0.504173581265359,88.9440452262315,78.0712883640879,"Angel1","12"
"ENSMUSG00000036376",439.973604753044,0.149211889029902,0.157327567510766,0.948415407361407,0.342918018834348,0.504590694321417,517.775263989114,467.246980586744,"Abt1","13"
"ENSMUSG00000070732",3.59087771793926,1.30104972480649,1.37239357788887,0.948015019720422,0.343121807964067,0.504845679048206,2.7942363047229,1.23492748233689,"Rbm44","1"
"ENSMUSG00000002059",554.403640268255,-0.234589776921339,0.247525149553343,-0.947741178400068,0.343261232154743,0.504895274279627,674.827233949466,870.301778041562,"Rab34","11"
"ENSMUSG00000004791",29.035805847798,0.523163603498551,0.552029701325444,0.947709158116701,0.343277537397658,0.504895274279627,21.2294663921897,16.4874072274628,"Pgf","12"
"ENSMUSG00000020021",1965.07129013853,-0.183273323555488,0.193365011686078,-0.947810164607373,0.343226104950636,0.504895274279627,780.505733111372,916.742136138614,"Fgd6","10"
"ENSMUSG00000033294",1083.4669631188,-0.156713587363932,0.165334794596967,-0.947856062276239,0.343202735510998,0.504895274279627,644.743506289259,718.534708353894,"Noc4l","5"
"ENSMUSG00000084345",1.45471920229482,1.25662876131406,1.32641598070757,0.947386626511936,0.343441803267625,0.505091992703258,2.39849432870717,1.05071012570017,"Rpl17-ps4","4"
"ENSMUSG00000012211",4.28926049762917,1.14682414049949,1.21077715843419,0.947180191260453,0.343546967424685,0.505201764357704,2.33839911426151,1.23492748233689,"Tex22","12"
"ENSMUSG00000085733",2.6449986456062,1.0564818083986,1.11590118236561,0.946752118461741,0.343765105769097,0.505477635535211,2.06061218064204,1.091707422566,"Gm11641","11"
"ENSMUSG00000001827",20.7460001488906,0.518978707342039,0.54827913087574,0.946559294556953,0.343863394314738,0.505487435767228,30.6759525112726,22.2597850394461,"Folr1","7"
"ENSMUSG00000020633",7.16118988285209,0.525193573517251,0.554785814162372,0.946660062514756,0.343812027407773,0.505487435767228,9.34674944230534,6.11585701343786,"Dcdc2c","12"
"ENSMUSG00000065990",1471.9016230324,0.105403010018611,0.11134805328347,0.946608466968662,0.343838327850809,0.505487435767228,1548.66772515431,1545.14542888586,"Aurkaip1","4"
"ENSMUSG00000036766",23.2227210481416,-0.500974842395748,0.529369849990436,-0.946360738914011,0.343964623260723,0.505591339217426,9.23925691672244,16.850996157314,"Dner","1"
"ENSMUSG00000089281",422.266960305855,0.33933988386521,0.358664914426592,0.946119540038429,0.344087618450782,0.505682814558048,423.225077314064,316.527187798112,"Scarna6","1"
"ENSMUSG00000090944",2.4645279009153,1.17570816211411,1.24266432437255,0.946118866579478,0.344087961908811,0.505682814558048,2.86755426713705,1.04059604111347,"Gm17513","2"
"ENSMUSG00000030662",8256.2878981692,-0.191835285196797,0.202797830622501,-0.945943477836748,0.344177416045539,0.505769369881001,9923.72011368681,10807.2400382955,"Ipo5","14"
"ENSMUSG00000038022",93.8759007067232,-0.313563937743178,0.331522790505374,-0.945829206086194,0.344235706453441,0.505810118742091,38.5585175812552,50.4076489302581,"Fam188b","6"
"ENSMUSG00000033671",10619.8056702397,-0.170348109878129,0.180145090748616,-0.945616165115719,0.344344396198174,0.505880001906264,6847.11169932864,7715.08963370019,"Cep350","1"
"ENSMUSG00000089125",2.84015513799323,-0.929184941278389,0.982602676821761,-0.945636484813829,0.344334028501948,0.505880001906264,1.87071929140921,3.48375417763457,"","18"
"ENSMUSG00000054474",42.536713216118,0.284698244030801,0.301184838791354,0.945260874263415,0.344525708035288,0.5061014461429,52.2250826859086,43.0897701968128,"Thnsl2","6"
"ENSMUSG00000022889",1304.4493999717,-0.186675938129476,0.197508453398623,-0.945154168934308,0.344580173733869,0.506136533144238,781.977132853628,967.752224162777,"Mrpl39","16"
"ENSMUSG00000038914",2854.1633637548,0.265642982178029,0.281281148093704,0.944403789512176,0.344963345728235,0.506654391263467,3552.83879426402,2602.52302365736,"Dido1","2"
