"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT8","baseMean_WT2","mgi_symbol","chromosome_name"
"ENSMUSG00000046329",148.901737243511,-1.95947187111978,0.402078176426215,-4.87336042094134,1.09715793185604e-06,5.90346584205115e-06,72.53983445168,245.386376627837,"Slc25a23","17"
"ENSMUSG00000075043",344.349474771512,-0.841769723232785,0.172754764806114,-4.87262811059086,1.10123399773419e-06,5.92347217955753e-06,190.335854663754,330.677342664649,"Tmem223","19"
"ENSMUSG00000034898",7.01075840728609,6.66275952233793,1.36756719002856,4.87197965183618,1.10485550448928e-06,5.94102126536781e-06,42.3168276002686,0.254914829669565,"Filip1","9"
"ENSMUSG00000036138",4982.4279067901,0.92909779876895,0.190716368070147,4.87162065936165,1.10686532836923e-06,5.9498954367779e-06,8474.80111230211,4376.17487261986,"Acaa1a","9"
"ENSMUSG00000034022",2174.36873563426,-0.677406314373218,0.139060773383189,-4.8712969005759,1.10868091286706e-06,5.95772006131908e-06,1658.9167308607,2717.43438689061,"Cpsf1","15"
"ENSMUSG00000074861",71.7487022265639,-1.8514737320526,0.380134948643202,-4.8705696191865,1.11276983940034e-06,5.97775190260142e-06,22.198740036185,88.7797313254328,"1810034E14Rik","13"
"ENSMUSG00000052565",1159.86102479228,-1.47253763256589,0.30235024783215,-4.87030403687107,1.11426661228027e-06,5.9838503244162e-06,453.066514442564,1122.16433685049,"Hist1h1d","13"
"ENSMUSG00000035852",135.308583714549,2.03104849140718,0.417191723256322,4.86838155741481,1.12515926828379e-06,6.04038632804575e-06,325.14313312312,75.0899245581053,"9130017N09Rik","10"
"ENSMUSG00000047098",3422.38870073107,1.01579377139129,0.208741752378199,4.86627021100633,1.13724008308487e-06,6.10326219686697e-06,6611.26641821916,3144.76819336498,"Rnf31","14"
"ENSMUSG00000016498",42.6394630439814,3.01920861294644,0.620458808295303,4.86609033924693,1.13827503283103e-06,6.10683632686755e-06,46.292480850034,4.80349756962256,"Pdcd1lg2","19"
"ENSMUSG00000041203",1997.45457207186,0.435375136099281,0.0895138348759295,4.86377481986703,1.15167930914565e-06,6.17541391033578e-06,2559.99363991413,1881.86784680564,"2310036O22Rik","8"
"ENSMUSG00000079484",39.5900127972,2.73261045614341,0.561831614295489,4.86375345675408,1.15180368202565e-06,6.17541391033578e-06,96.4670212915167,16.6788703711517,"Phyhd1","2"
"ENSMUSG00000024645",257.640407505684,-0.838318432184406,0.172362971698758,-4.86368054531775,1.15222825894145e-06,6.17568973890543e-06,142.963261631748,266.629730084061,"1700034H14Rik","18"
"ENSMUSG00000023118",5181.2037447252,0.465465070403294,0.0957107725356112,4.86324640447457,1.15475946178838e-06,6.18725278473921e-06,6765.21364356225,4877.27140581164,"Sympk","7"
"ENSMUSG00000034997",109.643005298128,-2.70763457302985,0.557048751389853,-4.86067793218139,1.16984442824138e-06,6.26605020447349e-06,47.6989273549871,302.639709198496,"Htr2a","14"
"ENSMUSG00000038070",363.395849527661,-1.00379108152698,0.206525879011873,-4.86036464935843,1.17169730007902e-06,6.27394435898022e-06,229.906074054379,486.395239172274,"Cntln","4"
"ENSMUSG00000028669",393.441576247719,-0.702789328102206,0.144627740865873,-4.85929825007755,1.17802557220334e-06,6.30578953607293e-06,189.260989287355,310.105016746838,"1110049F12Rik","4"
"ENSMUSG00000039748",53.5001259076169,-3.07420762470432,0.632851513644498,-4.85770762718163,1.18752585801848e-06,6.35458793277202e-06,7.30478915799753,68.7418427395183,"Exo1","1"
"ENSMUSG00000020770",1138.77625439337,0.889348049671378,0.183186575675045,4.85487567194331,1.20462297461456e-06,6.44191109946544e-06,1692.50193150109,903.513978929204,"Unk","11"
"ENSMUSG00000022787",365.020613191537,0.838999022714894,0.172815006348187,4.85489680811909,1.20449449823531e-06,6.44191109946544e-06,434.92599028822,238.180643054173,"Wdr53","16"
"ENSMUSG00000002052",5515.36885980809,0.780894387645359,0.160852969495859,4.85470918002209,1.20563545787782e-06,6.44316191906227e-06,9875.1997218285,5803.65304764527,"Supt6h","11"
"ENSMUSG00000025089",10.0551658384584,6.60599832910394,1.36073112509959,4.85474184227282,1.2054367651975e-06,6.44316191906227e-06,41.6207728850216,0.254914829669565,"Gfra1","19"
"ENSMUSG00000024791",110.50826450951,-1.92415977757488,0.396383044685167,-4.85429385382308,1.20816474080054e-06,6.45459477888631e-06,32.5602578342792,113.056957657328,"Cdca5","19"
"ENSMUSG00000026087",1760.39398112251,0.691662223580751,0.142496902378618,4.85387550210031,1.21071760917878e-06,6.46395171850738e-06,2789.3040563185,1734.80148196498,"Mrpl30","1"
"ENSMUSG00000037580",4332.4642853825,0.791795564356053,0.163128503993514,4.85381490648339,1.21108780611996e-06,6.46395171850738e-06,8180.98169817328,4828.50019031369,"Gch1","14"
"ENSMUSG00000041977",2750.77709834316,-0.552626626862922,0.113853401936312,-4.8538437803734,1.21091139321729e-06,6.46395171850738e-06,2131.14098391199,3159.63171817251,"Arhgef11","3"
"ENSMUSG00000030868",2317.64385932512,0.464110419718314,0.0956491932813099,4.85221467946246,1.22090358154195e-06,6.51424086979396e-06,2702.74771171469,1958.17977714425,"Dctn5","7"
"ENSMUSG00000040907",1133.42867714602,-1.38062301645406,0.284542346954838,-4.85208276107031,1.22171617351872e-06,6.51647579371843e-06,772.987558549478,1986.45565156802,"Atp1a3","7"
"ENSMUSG00000026341",29396.6980082881,0.545978034467114,0.112540473289644,4.85139273461147,1.22597508978187e-06,6.53708560276408e-06,49788.391314903,35651.4256045597,"Actr3","1"
"ENSMUSG00000020644",7775.686068736,-1.28476538418615,0.264918957380814,-4.84965438822613,1.23676775697503e-06,6.59250986978862e-06,7418.74207815702,17717.1529672312,"Id2","12"
