"","Rep_Sample","Rep","Sample","Genotype","Timepoint","Gene","MeanCounts","CV","CV2","FANO","Overdispersion"
"88","2__Rad21KO_8h",2,"Rad21KO_8h","Rad21KO","8h","Cd40",9.72505543237251,1.20443269204554,1.45065810966807,14.1077305299427,-0.171234385791635
"89","2__Rad21KO_8h",2,"Rad21KO_8h","Rad21KO","8h","Atf3",5.43348115299335,2.00935440573123,4.03750512783151,21.9377080171865,0.101933753069069
"90","2__Rad21KO_8h",2,"Rad21KO_8h","Rad21KO","8h","Tnf",16.529933481153,1.12179447713354,1.25842284892732,20.8016459839317,-0.106776738101711
"91","3__WT_0h",3,"WT_0h","WT","0h","Cd40",2.43373493975904,1.37294078709512,1.88496640486937,4.58750859980257,-0.510073548690631
"92","3__WT_0h",3,"WT_0h","WT","0h","Atf3",4.21084337349398,1.1945809118298,1.42702355490812,6.00897268000467,-0.434159258680488
"93","3__WT_0h",3,"WT_0h","WT","0h","Tnf",13.3855421686747,0.920090743081055,0.846566975503448,11.3317579492088,-0.325516482052216
"94","3__WT_2h",3,"WT_2h","WT","2h","Cd40",31.5397727272727,0.804617739063067,0.647409706014963,20.4191549891424,-0.282288133742704
"95","3__WT_2h",3,"WT_2h","WT","2h","Atf3",7.01136363636364,1.40434765816565,1.97219234499534,13.8277576916151,-0.130248804976201
"96","3__WT_2h",3,"WT_2h","WT","2h","Tnf",91.0426136363636,0.705862121510194,0.498241334582871,45.3611933220946,-0.291344955309922
"97","3__WT_8h",3,"WT_8h","WT","8h","Cd40",59.175355450237,0.963789948011849,0.928891063888683,54.9674588801616,-0.0533600941916045
"98","3__WT_8h",3,"WT_8h","WT","8h","Atf3",43.3767772511848,1.15837138439873,1.34182426419383,58.2040122181709,0.0749157660730422
"99","3__WT_8h",3,"WT_8h","WT","8h","Tnf",44.7784360189573,1.20897429224019,1.46161883929767,65.4490056795934,0.115626477196533
"100","3__Rad21KO_0h",3,"Rad21KO_0h","Rad21KO","0h","Cd40",4.18333333333333,1.01440444273244,1.0290163734353,4.30471849553769,-0.578404300499423
"101","3__Rad21KO_0h",3,"Rad21KO_0h","Rad21KO","0h","Atf3",2.13958333333333,1.80696137796643,3.26510942146234,6.98597369967046,-0.320190263222146
"102","3__Rad21KO_0h",3,"Rad21KO_0h","Rad21KO","0h","Tnf",4.51041666666667,1.6218972176149,2.63055058450695,11.8648791988699,-0.145288561495142
"103","3__Rad21KO_2h",3,"Rad21KO_2h","Rad21KO","2h","Cd40",49.0446927374302,0.806294980462056,0.650111595518307,31.8845234472358,-0.226454820483232
"104","3__Rad21KO_2h",3,"Rad21KO_2h","Rad21KO","2h","Atf3",12.7020484171322,1.27441655386342,1.62413755276111,20.6298738312543,-0.0548716079914847
"105","3__Rad21KO_2h",3,"Rad21KO_2h","Rad21KO","2h","Tnf",64.2346368715084,0.852294266066091,0.726405515969137,46.6603945397382,-0.153033245577423
"106","3__Rad21KO_8h",3,"Rad21KO_8h","Rad21KO","8h","Cd40",52.1223021582734,0.919511202073497,0.845500850738647,44.069450817277,-0.106164855788781
"107","3__Rad21KO_8h",3,"Rad21KO_8h","Rad21KO","8h","Atf3",9.51798561151079,1.39328399310276,1.94124028543638,18.4766971052686,-0.0504695199553025
"108","3__Rad21KO_8h",3,"Rad21KO_8h","Rad21KO","8h","Tnf",74.9604316546763,0.954831187640449,0.91170259689087,68.3416202036289,-0.042188816272381
